Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2011,10,3,Sunday 17 April,,Southern Steel,New Zealand,33-38,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,Invercargill ILT Velodrome
2011,10,3,Monday 18 April,,Canterbury Tactix,New Zealand,45-47,Central Pulse,New Zealand,Central Pulse,New Zealand,"CBS Canterbury Arena, Christchurch"
2011,10,3,Monday 18 April,,New South Wales Swifts,Australia,53-46,Northern Mystics,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2011,11,3,Thursday 21 April,,Southern Steel,New Zealand,39-40,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Edgar Centre, Dunedin"
2011,11,3,Saturday 23 April,,Melbourne Vixens,Australia,58-42,Central Pulse,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2011,11,3,Sunday 24 April,,Adelaide Thunderbirds,Australia,36-55,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"ETSA Park, Adelaide"
2011,11,3,Sunday 24 April,,Northern Mystics,New Zealand,62-43,Canterbury Tactix,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2011,11,3,Monday 25 April,,Queensland Firebirds,Australia,56-54,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2011,12,3,Saturday 30 April,,Canterbury Tactix,New Zealand,52-69,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"CBS Canterbury Arena, Christchurch"
2011,12,3,Sunday 1 May,,Melbourne Vixens,Australia,33-45,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Hisense Arena, Melbourne"
2011,12,3,Sunday 1 May,,Southern Steel,New Zealand,35-47,Northern Mystics,New Zealand,Northern Mystics,New Zealand,Invercargill ILT Velodrome
2011,12,3,Monday 2 May,,Waikato Bay of Plenty Magic,New Zealand,60-50,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,Taupo Events Centre
2011,12,3,Monday 2 May,,Adelaide Thunderbirds,Australia,59-64,West Coast Fever,Australia,West Coast Fever,Australia,"ETSA Park, Adelaide"
2011,13,4,Sunday 8 May,,New South Wales Swifts,Australia,44-49,Northern Mystics,New Zealand,Northern Mystics,New Zealand,Sydney Olympic Park Sports Centre
2011,13,4,Monday 9 May,,Queensland Firebirds,Australia,50-39,Waikato Bay of Plenty Magic,New Zealand,Queensland Firebirds,Australia,Gold Coast Convention and Exhibition Centre
2011,14,4,Sunday 15 May,,Waikato Bay of Plenty Magic,New Zealand,42-43,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Mystery Creek Events Centre, Hamilton"
2011,15,4,Sunday 22 May,,Queensland Firebirds,Australia,57-44,Northern Mystics,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2012,1,1,Saturday 31 March,,Adelaide Thunderbirds,Australia,57-40,New South Wales Swifts,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2012,1,1,Sunday 1 April,,Queensland Firebirds,Australia,42-47,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Brisbane Convention and Exhibition Centre
2012,1,1,Sunday 1 April,,Northern Mystics,New Zealand,51-47,Central Pulse,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2012,1,1,Monday 2 April,,Southern Steel,New Zealand,49-47,Waikato Bay of Plenty Magic,New Zealand,Southern Steel,New Zealand,"Stadium Southland Velodrome,Invercargill"
2012,1,1,Monday 2 April,,West Coast Fever,Australia,55-35,Canterbury Tactix,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2012,2,1,Saturday 7 April,,Central Pulse,New Zealand,47-42,Southern Steel,New Zealand,Central Pulse,New Zealand,"Pettigrew Green Arena, Napier"
2012,2,1,Sunday 8 April,,Queensland Firebirds,Australia,44-54,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,Brisbane Convention and Exhibition Centre
2012,2,1,Sunday 8 April,,West Coast Fever,Australia,41-50,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Challenge Stadium, Perth"
2012,2,1,Sunday 8 April,,Waikato Bay of Plenty Magic,New Zealand,41-47,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Claudelands Arena, Hamilton"
2012,2,1,Monday 9 April,,Canterbury Tactix,New Zealand,54-51,New South Wales Swifts,Australia,Canterbury Tactix,New Zealand,"CBS Canterbury Arena, Christchurch"
2012,3,1,Sunday 15 April,,Queensland Firebirds,Australia,58-32,Central Pulse,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2012,3,1,Sunday 15 April,,Adelaide Thunderbirds,Australia,34-48,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Netball SA Stadium, Adelaide"
2012,3,1,Sunday 15 April,,Canterbury Tactix,New Zealand,53-55,Southern Steel,New Zealand,Southern Steel,New Zealand,"CBS Canterbury Arena, Christchurch"
2012,3,1,Monday 16 April,,Northern Mystics,New Zealand,52-45,West Coast Fever,Australia,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2012,3,1,Monday 16 April,,New South Wales Swifts,Australia,49-47,Waikato Bay of Plenty Magic,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2012,4,1,Saturday 21 April,,Southern Steel,New Zealand,53-56,West Coast Fever,Australia,West Coast Fever,Australia,"Lion Foundation Arena, Dunedin"
2012,4,1,Sunday 22 April,,Melbourne Vixens,Australia,40-39,Waikato Bay of Plenty Magic,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2012,4,1,Sunday 22 April,,New South Wales Swifts,Australia,54-49,Queensland Firebirds,Australia,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2012,4,1,Sunday 22 April,,Northern Mystics,New Zealand,48-50,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Trusts Stadium, Auckland"
2012,4,1,Monday 23 April,,Central Pulse,New Zealand,50-45,Canterbury Tactix,New Zealand,Central Pulse,New Zealand,"Te Rauparaha Arena, Porirua"
2012,5,2,Sunday 29 April,,West Coast Fever,Australia,36-48,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2012,5,2,Sunday 29 April,,Melbourne Vixens,Australia,52-51,Queensland Firebirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2012,5,2,Sunday 29 April,,Central Pulse,New Zealand,47-51,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Arena Manawatu, Palmerston North"
2012,5,2,Monday 30 April,,Waikato Bay of Plenty Magic,New Zealand,61-52,Canterbury Tactix,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2012,6,2,Sunday 6 May,,New South Wales Swifts,Australia,39-36,Central Pulse,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2012,6,2,Sunday 6 May,,Queensland Firebirds,Australia,56-43,Northern Mystics,New Zealand,Queensland Firebirds,Australia,Gold Coast Convention and Exhibition Centre
2012,6,2,Sunday 6 May,,Waikato Bay of Plenty Magic,New Zealand,65-49,West Coast Fever,Australia,Waikato Bay of Plenty Magic,New Zealand,"TECT Arena, Tauranga"
2012,6,2,Monday 7 May,,Canterbury Tactix,New Zealand,41-65,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"CBS Canterbury Arena, Christchurch"
2012,7,2,Monday 7 May,,Adelaide Thunderbirds,Australia,58-48,Southern Steel,New Zealand,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2012,7,2,Sunday 13 May,,Adelaide Thunderbirds,Australia,60-43,West Coast Fever,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2012,7,2,Sunday 13 May,,New South Wales Swifts,Australia,55-52,Melbourne Vixens,Australia,New South Wales Swifts,Australia,"Allphones Arena, Sydney"
2012,7,2,Sunday 13 May,,Southern Steel,New Zealand,45-49,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Lion Foundation Arena, Dunedin"
2012,8,2,Monday 14 May,,Central Pulse,New Zealand,46-56,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Te Rauparaha Arena, Porirua"
2012,8,2,Monday 14 May,,Queensland Firebirds,Australia,64-48,Canterbury Tactix,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2012,8,2,Saturday 19 May,,Canterbury Tactix,New Zealand,42-65,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"CBS Canterbury Arena, Christchurch"
2012,8,2,Sunday 20 May,,Melbourne Vixens,Australia,45-49,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"Hisense Arena, Melbourne"
2012,9,2,Sunday 20 May,,New South Wales Swifts,Australia,52-47,West Coast Fever,Australia,New South Wales Swifts,Australia,Newcastle Entertainment Centre
2012,9,2,Sunday 20 May,,Southern Steel,New Zealand,60-61,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Stadium Southland Velodrome,Invercargill"
2012,9,2,Monday 21 May,,Central Pulse,New Zealand,47-46,Adelaide Thunderbirds,Australia,Central Pulse,New Zealand,"TSB Bank Arena, Wellington"
2012,9,2,Sunday 27 May,,West Coast Fever,Australia,55-56,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Challenge Stadium, Perth"
2012,10,2,Sunday 27 May,,Melbourne Vixens,Australia,43-49,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Hisense Arena, Melbourne"
2012,10,2,Sunday 27 May,,Northern Mystics,New Zealand,57-56,Canterbury Tactix,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2012,10,2,Monday 28 May,,Southern Steel,New Zealand,50-58,Central Pulse,New Zealand,Central Pulse,New Zealand,"Lion Foundation Arena, Dunedin"
2012,10,3,Sunday 3 June,,Queensland Firebirds,Australia,50-45,New South Wales Swifts,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2012,10,3,Sunday 3 June,,Melbourne Vixens,Australia,48-40,Adelaide Thunderbirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2012,11,3,Sunday 3 June,,Canterbury Tactix,New Zealand,47-54,Central Pulse,New Zealand,Central Pulse,New Zealand,"CBS Canterbury Arena, Christchurch"
2012,11,3,Monday 4 June,,Waikato Bay of Plenty Magic,New Zealand,66-47,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Claudelands Arena, Hamilton"
2012,11,3,Sunday 10 June,,Adelaide Thunderbirds,Australia,54-49,Queensland Firebirds,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2012,11,3,Sunday 10 June,,West Coast Fever,Australia,49-51,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Challenge Stadium, Perth"
2012,11,3,Sunday 10 June,,Waikato Bay of Plenty Magic,New Zealand,52-42,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"TECT Arena, Tauranga"
2012,12,3,Monday 11 June,,Northern Mystics,New Zealand,60-49,Southern Steel,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2012,12,3,Sunday 17 June,,Melbourne Vixens,Australia,50-49,West Coast Fever,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2012,12,3,Sunday 17 June,,New South Wales Swifts,Australia,35-62,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"State Sports Centre, Sydney"
2012,12,3,Sunday 17 June,,Northern Mystics,New Zealand,46-48,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trusts Stadium, Auckland"
2012,12,3,Monday 18 June,,Southern Steel,New Zealand,61-62,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,Invercargill ILT Velodrome
2012,13,3,Saturday 23 June,,Waikato Bay of Plenty Magic,New Zealand,59-42,Adelaide Thunderbirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"TECT Arena, Tauranga"
2012,13,3,Sunday 24 June,,New South Wales Swifts,Australia,55-42,Southern Steel,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2012,13,3,Sunday 24 June,,Queensland Firebirds,Australia,63-43,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2012,13,3,Sunday 24 June,,Canterbury Tactix,New Zealand,55-64,Northern Mystics,New Zealand,Northern Mystics,New Zealand,"CBS Canterbury Arena, Christchurch"
2012,13,3,Monday 25 June,,Central Pulse,New Zealand,41-49,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Te Rauparaha, Porirua"
2012,14,3,Saturday 30 June,,Southern Steel,New Zealand,38-56,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Invercargill ILT Velodrome
2012,14,3,Sunday 1 July,,Adelaide Thunderbirds,Australia,65-44,Canterbury Tactix,New Zealand,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2012,14,3,Sunday 1 July,,West Coast Fever,Australia,40-38,Central Pulse,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2012,14,3,Sunday 1 July,,Northern Mystics,New Zealand,50-49,New South Wales Swifts,Australia,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2012,14,3,Monday 2 July,,Waikato Bay of Plenty Magic,New Zealand,53-43,Queensland Firebirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Claudelands Arena, Hamilton"
2012,15,4,Sunday 8 July,,Melbourne Vixens,Australia,56-50,Northern Mystics,New Zealand,Melbourne Vixens,Australia,"Rod Laver Arena, Melbourne"
2012,15,4,Monday 9 July,,Waikato Bay of Plenty Magic,New Zealand,49-48,Adelaide Thunderbirds,Australia,Waikato Bay of Plenty Magic,New Zealand,"Claudelands Arena, Hamilton"
2012,16,4,Monday 16 July,,Northern Mystics,New Zealand,48-57,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trust Stadium, Auckland"
2012,17,4,Sunday 22 July,,Melbourne Vixens,Australia,38-41,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Hisense Arena, Melbourne"
2013,1,1,Sunday 24 March,,Queensland Firebirds,Australia,68-59,Southern Steel,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2013,1,1,Sunday 24 March,,Adelaide Thunderbirds,Australia,49-42,Central Pulse,New Zealand,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,1,1,Sunday 24 March,,Canterbury Tactix,New Zealand,46-69,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trafalgar Centre, Nelson"
2013,1,1,Monday 25 March,,Northern Mystics,New Zealand,46-60,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Trusts Stadium, Auckland"
2013,1,1,Monday 25 March,,New South Wales Swifts,Australia,55-41,West Coast Fever,Australia,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2013,2,1,Saturday 30 March,,Canterbury Tactix,New Zealand,56-75,Southern Steel,New Zealand,Southern Steel,New Zealand,"CBS Canterbury Arena, Christchurch"
2013,2,1,Sunday 31 March,,Melbourne Vixens,Australia,58-44,Adelaide Thunderbirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2013,2,1,Sunday 31 March,,West Coast Fever,Australia,80-53,Northern Mystics,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2013,2,1,Sunday 31 March,,Waikato Bay of Plenty Magic,New Zealand,61-35,New South Wales Swifts,Australia,Waikato Bay of Plenty Magic,New Zealand,"ASB Baypark Arena, Tauranga"
2013,2,1,Monday 1 April,,Central Pulse,New Zealand,56-58,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Te Rauparaha Arena, Porirua"
2013,3,1,Saturday 6 April,,Southern Steel,New Zealand,54-60,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Lion Foundation Arena, Dunedin"
2013,3,1,Sunday 7 April,,West Coast Fever,Australia,57-51,Waikato Bay of Plenty Magic,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2013,3,1,Sunday 7 April,,Northern Mystics,New Zealand,51-72,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Trusts Stadium, Auckland"
2013,3,1,Monday 8 April,,Central Pulse,New Zealand,55-49,New South Wales Swifts,Australia,Central Pulse,New Zealand,"TSB Bank Arena, Wellington"
2013,3,1,Monday 8 April,,Melbourne Vixens,Australia,60-40,Canterbury Tactix,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2013,4,1,Sunday 14 April,,Adelaide Thunderbirds,Australia,72-46,West Coast Fever,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,4,1,Sunday 14 April,,Central Pulse,New Zealand,59-56,Southern Steel,New Zealand,Central Pulse,New Zealand,"Arena Manawatu, Palmerston North"
2013,4,1,Monday 15 April,,Canterbury Tactix,New Zealand,80-78,Northern Mystics,New Zealand,Canterbury Tactix,New Zealand,"CBS Canterbury Arena, Christchurch"
2013,4,1,Monday 15 April,,New South Wales Swifts,Australia,53-61,Queensland Firebirds,Australia,Queensland Firebirds,Australia,Sydney Olympic Park Sports Centre
2013,4,2,Sunday 21 April,,Adelaide Thunderbirds,Australia,39-38,Melbourne Vixens,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,5,2,Sunday 21 April,,West Coast Fever,Australia,71-51,New South Wales Swifts,Australia,West Coast Fever,Australia,"Challenge Stadium, Perth"
2013,5,2,Sunday 21 April,,Northern Mystics,New Zealand,69-68,Central Pulse,New Zealand,Northern Mystics,New Zealand,"Trusts Stadium, Auckland"
2013,5,2,Monday 22 April,,Waikato Bay of Plenty Magic,New Zealand,65-45,Canterbury Tactix,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"ASB Baypark Arena, Tauranga"
2013,5,2,Saturday 27 April,,West Coast Fever,Australia,49-58,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Perth Arena, Perth"
2013,6,2,Sunday 28 April,,Queensland Firebirds,Australia,53-54,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,Brisbane Convention and Exhibition Centre
2013,6,2,Sunday 28 April,,Central Pulse,New Zealand,53-52,Waikato Bay of Plenty Magic,New Zealand,Central Pulse,New Zealand,"TSB Bank Arena, Wellington"
2013,6,2,Monday 29 April,,Southern Steel,New Zealand,67-52,Northern Mystics,New Zealand,Southern Steel,New Zealand,"Stadium Southland Velodrome,Invercargill"
2013,6,2,Sunday 5 May,,Queensland Firebirds,Australia,63-54,West Coast Fever,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2013,7,2,Sunday 5 May,,Melbourne Vixens,Australia,52-30,Central Pulse,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2013,7,2,Sunday 5 May,,Northern Mystics,New Zealand,57-61,Canterbury Tactix,New Zealand,Canterbury Tactix,New Zealand,"Trusts Stadium, Auckland"
2013,7,2,Monday 6 May,,Southern Steel,New Zealand,60-55,New South Wales Swifts,Australia,Southern Steel,New Zealand,"Stadium Southland Velodrome,Invercargill"
2013,7,2,Monday 6 May,,Adelaide Thunderbirds,Australia,45-33,Waikato Bay of Plenty Magic,New Zealand,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,8,2,Saturday 11 May,,Canterbury Tactix,New Zealand,51-76,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"CBS Canterbury Arena, Christchurch"
2013,8,2,Sunday 12 May,,New South Wales Swifts,Australia,42-50,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Sydney Olympic Park Sports Centre
2013,8,2,Sunday 12 May,,West Coast Fever,Australia,47-49,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Challenge Stadium, Perth"
2013,8,2,Sunday 12 May,,Northern Mystics,New Zealand,63-73,Southern Steel,New Zealand,Southern Steel,New Zealand,"Trusts Stadium, Auckland"
2013,9,2,Monday 13 May,,Waikato Bay of Plenty Magic,New Zealand,53-49,Central Pulse,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Claudelands Arena, Hamilton"
2013,9,2,Saturday 18 May,,Southern Steel,New Zealand,65-58,Waikato Bay of Plenty Magic,New Zealand,Southern Steel,New Zealand,"Stadium Southland Velodrome,Invercargill"
2013,9,2,Sunday 19 May,,Melbourne Vixens,Australia,46-57,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Hisense Arena, Melbourne"
2013,9,2,Sunday 19 May,,Adelaide Thunderbirds,Australia,50-48,New South Wales Swifts,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,10,2,Sunday 19 May,,Canterbury Tactix,New Zealand,55-64,West Coast Fever,Australia,West Coast Fever,Australia,"Trafalgar Centre, Nelson"
2013,10,2,Monday 20 May,,Central Pulse,New Zealand,63-48,Northern Mystics,New Zealand,Central Pulse,New Zealand,"Te Rauparaha Arena, Porirua"
2013,10,3,Sunday 26 May,,New South Wales Swifts,Australia,63-44,Northern Mystics,New Zealand,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2013,10,3,Sunday 26 May,,Queensland Firebirds,Australia,62-65,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,Gold Coast Convention and Exhibition Centre
2013,10,3,Sunday 26 May,,Central Pulse,New Zealand,53-52,West Coast Fever,Australia,Central Pulse,New Zealand,"TSB Bank Arena, Wellington"
2013,11,3,Monday 27 May,,Canterbury Tactix,New Zealand,58-62,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Lion Foundation Arena, Dunedin"
2013,11,3,Monday 27 May,,Melbourne Vixens,Australia,58-52,Southern Steel,New Zealand,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2013,11,3,Sunday 2 June,,New South Wales Swifts,Australia,43-46,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"Allphones Arena, Sydney"
2013,11,3,Sunday 2 June,,Queensland Firebirds,Australia,47-53,Melbourne Vixens,Australia,Melbourne Vixens,Australia,Brisbane Convention and Exhibition Centre
2013,11,3,Sunday 2 June,,Waikato Bay of Plenty Magic,New Zealand,58-52,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2013,12,3,Monday 3 June,,Canterbury Tactix,New Zealand,45-62,Central Pulse,New Zealand,Central Pulse,New Zealand,"CBS Canterbury Arena, Christchurch"
2013,12,3,Saturday 8 June,,Melbourne Vixens,Australia,39-48,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Hisense Arena, Melbourne"
2013,12,3,Sunday 9 June,,West Coast Fever,Australia,47-72,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Challenge Stadium, Perth"
2013,12,3,Sunday 9 June,,Southern Steel,New Zealand,79-62,Canterbury Tactix,New Zealand,Southern Steel,New Zealand,"Lion Foundation Arena, Dunedin"
2013,12,3,Monday 10 June,,Northern Mystics,New Zealand,50-60,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trusts Stadium, Auckland"
2013,13,3,Sunday 16 June,,Queensland Firebirds,Australia,52-48,New South Wales Swifts,Australia,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2013,13,3,Sunday 16 June,,Adelaide Thunderbirds,Australia,64-48,Northern Mystics,New Zealand,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,13,3,Sunday 16 June,,Waikato Bay of Plenty Magic,New Zealand,56-51,Melbourne Vixens,Australia,Waikato Bay of Plenty Magic,New Zealand,"Claudelands Arena, Hamilton"
2013,13,3,Monday 17 June,,Central Pulse,New Zealand,73-59,Canterbury Tactix,New Zealand,Central Pulse,New Zealand,"Te Rauparaha Arena, Porirua"
2013,13,3,Monday 17 June,,West Coast Fever,Australia,68-56,Southern Steel,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2013,14,3,Sunday 23 June,,Melbourne Vixens,Australia,69-39,West Coast Fever,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2013,14,3,Sunday 23 June,,Adelaide Thunderbirds,Australia,54-52,Queensland Firebirds,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,14,3,Sunday 23 June,,Southern Steel,New Zealand,64-73,Central Pulse,New Zealand,Central Pulse,New Zealand,"Stadium Southland Velodrome,Invercargill"
2013,14,3,Monday 24 June,,Waikato Bay of Plenty Magic,New Zealand,68-40,Northern Mystics,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"ASB Baypark Arena, Tauranga"
2013,14,3,Monday 24 June,,New South Wales Swifts,Australia,62-42,Canterbury Tactix,New Zealand,New South Wales Swifts,Australia,Sydney Olympic Park Sports Centre
2013,15,4,Sunday 30 June,,Adelaide Thunderbirds,Australia,49-39,Melbourne Vixens,Australia,Adelaide Thunderbirds,Australia,"Netball SA Stadium, Adelaide"
2013,15,4,Monday 1 July,,Waikato Bay of Plenty Magic,New Zealand,50-53,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"Claudelands Arena, Hamilton"
2013,16,4,Sunday 7 July,,Melbourne Vixens,Australia,46-50,Queensland Firebirds,Australia,Queensland Firebirds,Australia,"State Netball Hockey Centre, Melbourne"
2013,17,4,Sunday 14 July,,Adelaide Thunderbirds,Australia,50-48,Queensland Firebirds,Australia,Adelaide Thunderbirds,Australia,"Adelaide Entertainment Centre, Adelaide"
