Year,Round,Season,Date,Time,HomeTeam,HomeCountry,Score,AwayTeam,AwayCountry,Win,WinCountry,Venue
2010,2,1,Saturday 27 March 13:50 (UTC+10:30),,Adelaide Thunderbirds,Australia,38-45,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"ETSA Park, Adelaide"
2010,2,1,Sunday 28 March 14:50 (UTC+11),,Melbourne Vixens,Australia,53-46,Queensland Firebirds,Australia,Melbourne Vixens,Australia,"Hisense Arena, Melbourne"
2010,2,1,Monday 29 March 19:20 (UTC+13),,Waikato Bay of Plenty Magic,New Zealand,47-41,Southern Steel,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Energy Events Centre, Rotorua"
2010,2,1,Monday 29 March 17:05 (UTC+8),,West Coast Fever,Australia,62-44,Canterbury Tactix,New Zealand,West Coast Fever,Australia,"Challenge Stadium, Perth"
2010,3,1,Saturday 3 April 14:20 (UTC+13),,Northern Mystics,New Zealand,46-55,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Trusts Stadium, Auckland"
2010,3,1,Sunday 4 April 14:50 (UTC+10),,Queensland Firebirds,Australia,40-41,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,Brisbane Convention and Exhibition Centre
2010,3,1,Sunday 4 April 18:50 (UTC+12),,Canterbury Tactix,New Zealand,53-56,New South Wales Swifts,Australia,New South Wales Swifts,Australia,"Westpac Arena, Christchurch"
2010,3,1,Monday 5 April 19:20 (UTC+12),,Southern Steel,New Zealand,56-44,Central Pulse,New Zealand,Southern Steel,New Zealand,"Edgar Centre, Dunedin"
2010,3,1,Monday 5 April 18:05 (UTC+8),,West Coast Fever,Australia,50-64,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Challenge Stadium, Perth"
2010,4,1,Saturday 10 April 14:20 (UTC+12),,Waikato Bay of Plenty Magic,New Zealand,55-50,West Coast Fever,Australia,Waikato Bay of Plenty Magic,New Zealand,"Mystery Creek Events Centre, Hamilton"
2010,4,1,Saturday 10 April 14:20 (UTC+10),,New South Wales Swifts,Australia,50-36,Central Pulse,New Zealand,New South Wales Swifts,Australia,"State Sports Centre, Sydney"
2010,4,1,Sunday 11 April 14:20 (UTC+9:30),,Adelaide Thunderbirds,Australia,53-36,Southern Steel,New Zealand,Adelaide Thunderbirds,Australia,"ETSA Park, Adelaide"
2010,4,1,Monday 12 April 19:20 (UTC+12),,Canterbury Tactix,New Zealand,49-64,Melbourne Vixens,Australia,Melbourne Vixens,Australia,"Westpac Arena, Christchurch"
2010,4,1,Monday 12 April 19:05 (UTC+10),,Queensland Firebirds,Australia,71-54,Northern Mystics,New Zealand,Queensland Firebirds,Australia,Brisbane Convention and Exhibition Centre
2010,5,2,Saturday 17 April 14:20 (UTC+12),,Central Pulse,New Zealand,40-75,Adelaide Thunderbirds,Australia,Adelaide Thunderbirds,Australia,"TSB Bank Arena, Wellington"
2010,5,2,Sunday 18 April 14:50 (UTC+10),,New South Wales Swifts,Australia,55-43,West Coast Fever,Australia,New South Wales Swifts,Australia,Newcastle Entertainment Centre
2010,5,2,Sunday 18 April 18:50 (UTC+12),,Canterbury Tactix,New Zealand,36-53,Waikato Bay of Plenty Magic,New Zealand,Waikato Bay of Plenty Magic,New Zealand,"Westpac Arena, Christchurch"
